study,age,gender,condition,recallText,possibleCareless,af01,af02,af03,af04,af05,af06,af07,af08,af09,af10,af11,af12,af13,af14,af15,af16,as01,as02,as03,as04,as05,as06,as07,as08,as09,as10,as11,as12,as13,as14,as15,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cs01,cs02,cs03,cs04,cs05,cs06,cs07,cs08,cs09,cs10,cs11,cs12,cs13,cs14,cs15,rf01,rf02,rf03,rf04,rf05,rf06,rf07,rf08,rf09,rf10,rf11,rf12,rf13,rf14,rf15,rs01,rs02,rs03,rs04,rs05,rs06,rs07,rs08,rs09,rs10,rs11,rs12,rs13,rs14,rs15,randomID,wave,playtimeNext2Weeks,game,umi_1,umi_2,umi_3,pxi_1,pxi_2,pxi_3,pxi_4,pxi_5,pxi_6,bpnsfs_1,bpnsfs_2,bpnsfs_3,bpnsfs_4,bpnsfs_5,bpnsfs_6,bpnsfs_7,bpnsfs_8,bpnsfs_9,bpnsfs_10,bpnsfs_11,bpnsfs_12,bpnsfs_13,bpnsfs_14,bpnsfs_15,bpnsfs_16,bpnsfs_17,bpnsfs_18,bpnsfs_19,bpnsfs_20,bpnsfs_21,bpnsfs_22,bpnsfs_23,bpnsfs_24
study2xbox,18,Man,NA,NA,FALSE,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,NA,5,NA,NA,NA,2,NA,NA,4,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,506825,1,0.7261904761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,30,Man,NA,NA,FALSE,5,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,6,6,NA,NA,5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,7,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,6,NA,2,NA,NA,NA,6,NA,NA,5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,3002898,3,4.6975936492185575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,25,Man,NA,NA,FALSE,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,5,5,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,4,NA,5,NA,NA,NA,1,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1073068,5,0.9860385005065856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,24,Non-binary/prefer not to say,NA,NA,FALSE,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA,5,5,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,5,NA,NA,NA,NA,7,NA,6,NA,NA,NA,1,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2896466,1,3.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,24,Non-binary/prefer not to say,NA,NA,FALSE,3,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA,6,5,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,4,NA,5,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,8017940,3,7.0136442570081865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,22,Non-binary/prefer not to say,NA,NA,FALSE,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,5,NA,NA,NA,NA,7,NA,7,NA,NA,NA,2,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,8380369,5,2.407335359675785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,43,Man,NA,NA,FALSE,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,6,7,NA,NA,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,6,NA,7,NA,NA,NA,5,NA,NA,4,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2300863,1,8.266805555555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,54,Man,NA,NA,FALSE,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,5,7,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,4,NA,NA,4,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1536870,3,5.834780451500868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,26,Man,NA,NA,FALSE,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,5,7,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,4,NA,6,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4404247,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,36,Man,NA,NA,FALSE,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,7,5,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,3,NA,6,NA,NA,NA,1,NA,NA,1,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,8894796,1,4.023809523809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,21,Man,NA,NA,FALSE,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,2,7,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,5,NA,7,NA,NA,NA,4,NA,NA,4,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6724198,3,4.1623418506574055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,22,Man,NA,NA,FALSE,5,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,6,6,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,5,NA,3,NA,NA,NA,3,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4948310,5,0.6930091185410334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,30,Man,NA,NA,FALSE,4,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,4,NA,4,NA,NA,NA,2,NA,NA,2,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6523495,1,2.6666666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Man,NA,NA,FALSE,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,7,6,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,3,NA,5,NA,NA,NA,1,NA,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3542320,3,2.4708509054825103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,37,Man,NA,NA,TRUE,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,5,5,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,7,NA,5,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3745982,5,0.0851063829787234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,26,Non-binary/prefer not to say,NA,NA,FALSE,4,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,7,5,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,NA,5,NA,5,NA,NA,NA,4,NA,NA,3,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,5,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,9666214,1,3.886904761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,33,Man,NA,NA,FALSE,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,5,6,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,6,NA,5,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4175123,3,1.7623418506574051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,34,Man,NA,NA,FALSE,4,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,4,5,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,3,NA,NA,NA,5,NA,NA,7,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4484447,5,1.5633839918946302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,23,Man,NA,NA,FALSE,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,7,7,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,4,NA,4,NA,NA,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6567424,1,3.767857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,29,Man,NA,NA,FALSE,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,6,NA,NA,NA,NA,5,NA,5,NA,NA,NA,2,NA,NA,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,7587776,3,2.4529893326717938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,37,Man,NA,NA,FALSE,2,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,6,6,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,6,NA,6,NA,NA,NA,1,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1814247,1,5.43797619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,33,Woman,NA,NA,TRUE,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,5,NA,6,NA,NA,NA,1,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1804478,3,1.6551724137931034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,50,Man,NA,NA,FALSE,6,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,2,NA,6,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5464127,5,1.021276595744681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,37,Man,NA,NA,FALSE,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA,4,7,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,3,NA,5,NA,NA,NA,4,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4210954,1,4.470238095238096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,25,Man,NA,NA,FALSE,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,6,NA,6,NA,NA,NA,2,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,6579746,3,4.304639047382783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,36,Man,NA,NA,FALSE,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,NA,6,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5247572,5,0.14296351451973197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,20,Man,NA,NA,FALSE,5,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,5,7,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,5,NA,3,NA,NA,NA,1,NA,NA,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2828936,1,2.3809523809523805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,37,Man,NA,NA,FALSE,3,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,4,5,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,6,NA,4,NA,NA,NA,4,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,131120,3,1.4110642520466388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,19,Transman,NA,NA,FALSE,3,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,6,5,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,NA,2,NA,NA,NA,2,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5338435,5,0.3563323201621074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,35,Man,NA,NA,FALSE,4,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,3,2,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,5,NA,6,NA,NA,NA,4,NA,NA,3,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3430113,1,3.964285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,27,Man,NA,NA,FALSE,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,4,NA,NA,NA,NA,7,NA,5,NA,NA,NA,2,NA,NA,4,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3837541,3,5.3763334160258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,53,Non-binary/prefer not to say,NA,NA,FALSE,4,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,6,5,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,5,NA,5,NA,NA,NA,4,NA,NA,2,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,9601293,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,38,Man,NA,NA,FALSE,7,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,6,6,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,6,NA,6,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1513542,1,1.2797619047619049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study2xbox,49,Man,NA,NA,FALSE,6,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,7,7,NA,NA,5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,5,NA,5,NA,NA,NA,6,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1554017,5,2.7355623100303954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
